tutkintokerta,koulun_nro,koulun_nimi,opetuskieli,tyyppi,sukup,yht,A,O,Z,I,W,Q,A5,O5,M,N,BI,FF,FY,HI,PS,UE,UO,ET,GE,KE,TE,YH,BA,BB,CA,CB,EA,FA,SA,PA,VA,EC,FC,SC,PC,VC,DC,IC,QC,GC,TC,L1,L7,opintotausta
2022K,2566,Närpes gymnasium,SV,,1,24,,5,,,,,,,6,,,,,,,,,,,,4,,,,,3,6,,,,,,,,,,,,,,,,,3
2022K,2566,Närpes gymnasium,SV,,2,21,,5,,,,,,,,4,,,,,,,,,,,4,,,,,3,5,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,17,,2,,,,,,,5,,,,3,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,25,,,,,,,,5,5,,4,,4,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,21,,4,,,,,,,,2,,,,3,,,,2,,,,,,,,,4,,,,,,,6,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,20,,5,,,,,,,,5,,,,,4,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,22,,4,,,,,,,,3,,,,,,,,,,,6,,,,,4,5,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,21,,4,,,,,,,,6,,,,,,,,,4,,,,,,,2,5,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,30,,6,,,,,,,,4,,,,4,5,,,,,,,,,,,,6,,,,,,,5,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,14,,4,,,,,,,,3,,,,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,19,,4,,,,,,,,4,,,,,3,,,,5,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,21,,4,,,,,,,,4,,,,,4,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,21,,4,,,,,,,,2,,,,4,,,,,,,4,,,,,4,3,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,25,,4,,,,,,,5,,,,,,,,,,,,4,4,,,,4,4,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,24,,5,,,,,,,,4,,,,,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,24,,4,,,,,,,,5,,,,,,,,,,,4,,,,,6,5,,,,,,,,,,,,,,,,,3
2022K,2566,Närpes gymnasium,SV,,1,15,,2,,,,,,,,4,,,,3,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,31,,5,,,,,,,5,,4,,,,,,,,,4,6,,,,,4,3,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,24,,5,,,,,,,,3,,,,,4,,,,,,6,,,,,2,4,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,19,,3,,,,,,,,4,,,,,,,,,,,2,,,,,6,4,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,26,,5,,,,,,,,5,,,,5,,,,,5,,,,,,,2,4,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,20,,2,,,,,,,,4,,,4,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,42,,5,,,,,,,7,,,,7,,,,,,,6,,,,,,5,6,,,,,,,6,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,14,,3,,,,,,,,4,,,,,,,,,,,,,,,,2,3,,,,,,,2,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,15,,4,,,,,,,2,,3,,,,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,16,,4,,,,,,,3,,2,,,,,,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,17,,3,,,,,,,,4,,,,,,,,,,,4,,,,,2,4,,,,,,,,,,,,,,,,,3
2022K,2566,Närpes gymnasium,SV,,2,16,,3,,,,,,,,2,,,,,4,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,26,,4,,,,,,,,4,,3,,,,,,,,,6,,,,,4,5,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,18,,4,,,,,,,,4,,,,,,,,,,,2,,,,,,3,,,,,,,5,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,2,32,,4,,,,,,,6,,,,6,,4,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,1
2022K,2566,Närpes gymnasium,SV,,1,20,,2,,,,,,,,6,,,,5,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,20,3,,,,,,,,5,,,,,6,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,22,4,,,,,,,,4,,,5,,,,,,,,,,4,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,16,3,,,,,,,,,5,,,,,,,,,2,,2,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,26,3,,,,,,,,5,,5,,4,,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,13,3,,,,,,,,,2,,,,3,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,19,3,,,,,,,,,3,,,,,,,,,,,3,4,,4,,,2,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,12,2,,,,,,,,,3,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,19,3,,,,,,,,,5,4,,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,32,5,,,,,,,,5,,,,,,6,5,,,,,,,,6,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,31,5,,,,,,,,5,,,,5,6,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,28,3,,,,,,,,6,,4,,5,,,,,,,4,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,26,4,,,,,,,,5,,5,,,,,,,,,5,,,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,60,7,,,,,,,,6,,6,,5,,6,,,,7,6,,,,6,,,5,,,,,,6,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,25,4,,,,,,,,4,,,,,6,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,34,5,,,,,,,,6,,,,,,7,,,,,,,7,,,,,4,,,,,,,5,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,25,4,,,,,,,,3,,,,,6,4,,,,,,,,,,,,4,,,,,,,,,4,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,23,5,,,,,,,,4,,,,,,5,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,19,3,,,,,,,,,3,,,,3,,,,,,,4,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,21,4,,,,,,,,,4,4,,,,2,,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,28,3,,,,,,,,,,,3,,,,,,,,,,,,5,,,5,,,,7,,,5,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,14,2,,,,,,,,,3,,,,3,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,31,3,,,,,,,,3,,3,,,,,,,,4,,,5,,4,,,4,,,,,,,,,5,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,21,5,,,,,,,,,5,,,,,5,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,24,4,,,,,,,,3,,3,,,,3,,,,,,4,,,4,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,22,4,,,,,,,,,5,3,,3,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,25,4,,,,,,,,5,,,5,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,14,3,,,,,,,,,4,,,,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,25,5,,,,,,,,4,,,,,,4,4,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,25,4,,,,,,,,,6,4,,,,,,,,,5,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,25,4,,,,,,,,5,,,,4,,,,,,,,4,,,4,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,40,5,,,,,,,,6,,,,6,6,,,,,6,6,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,19,4,,,,,,,,,5,,,,,,,,,,,2,4,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,26,5,,,,,,,,6,,,,4,,,,,,4,3,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,36,4,,,,,,,,5,,6,,4,,,,,,,6,,,,6,,,,,,,,5,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,23,4,,,,,,,,,4,,,,,3,,,,,,,5,,4,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,16,3,,,,,,,,,4,,,,,,,,,,,3,3,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,26,5,,,,,,,,3,,,,,,3,,,,,,,6,,,,,4,,,,,,,,,5,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,29,4,,,,,,,,6,,,,6,,3,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,32,5,,,,,,,,4,,4,,,6,5,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,26,4,,,,,,,,,,,,,,5,4,,,,,4,,,4,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,20,4,,,,,,,,,4,,,,4,,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,38,7,,,,,,,,4,,,,,,,,,,,,,6,,7,,,7,,,,,,,7,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,25,4,,,,,,,,5,,3,,4,,,,,,,5,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,19,4,,,,,,,,,5,,,,,,,,,,,4,6,,,,,0,,,,,,,,,,,,,,,,,2
2022K,1713,Raahen lukio,FI,,1,19,4,,,,,,,,,4,2,,,4,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,25,4,,,,,,,,5,,,,5,6,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,19,4,,,,,,,,3,,,,,,,4,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,23,4,,,,,,,,,5,,,,5,,,,,,,,4,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,37,6,,,,,,,,6,,,,6,,,,,,6,,,,,7,,,6,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,27,3,,,,,,,,5,,5,,5,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,31,6,,,,,,,,5,,,,,6,,,,,6,,,,,4,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,19,5,,,,,,,,,5,,,,,3,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,2
2022K,1713,Raahen lukio,FI,,2,29,6,,,,,,,,,5,,,,,5,,,,,,,6,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,20,4,,,,,,,,4,,,,4,,,,,,,3,,,,,,,,,,,,5,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,13,4,,,,,,,,,4,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,2
2022K,1713,Raahen lukio,FI,,1,29,5,,,,,,,,5,,,,5,,7,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,33,5,,,,,,,,,4,4,,,5,,,,,,,,,,5,,,5,,,,,,,,,5,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,20,5,,,,,,,,,5,,,,,,,,,,,3,5,,,,,2,,,,,,,,,,,,,,,,,2
2022K,1713,Raahen lukio,FI,,2,20,4,,,,,,,,,2,,,,,4,,,,,,6,4,,,,,0,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,19,3,,,,,,,,3,,2,,,,4,,,,,,4,,,3,,,,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,22,5,,,,,,,,4,,,,,5,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,21,2,,,,,,,,5,,,,5,4,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,33,5,,,,,,,,6,,6,,,,6,,,,,6,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,25,4,,,,,,,,3,,3,,3,,,,,,,4,,4,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,22,3,,,,,,,,4,,,,,,4,,,,5,,3,,,,,,,,,,,3,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,14,3,,,,,,,,,2,3,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,26,5,,,,,,,,,5,,,,,,,,,5,,,,,6,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,31,7,,,,,,,,,6,,,,7,,,,,,,,6,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,25,4,,,,,,,,,4,,,,,4,,,,,,2,4,,,,,,,,,7,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,25,4,,,,,,,,,4,,,,,5,,,,,,4,,,3,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,21,4,,,,,,,,,4,,,,3,2,,,,,,,5,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,36,6,,,,,,,,,6,,,,7,6,,,,,,,,,6,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,30,4,,,,,,,,6,,,,4,5,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,32,6,,,,,,,,5,,4,,4,,,6,,,,4,,,,,,,,,,,,3,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,25,4,,,,,,,,4,,5,,,,4,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,16,3,,,,,,,,,3,,,,,,,,,,,,2,,,,,5,,,,,,,3,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,21,4,,,,,,,,4,,,,,6,,,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,31,4,,,,,,,,6,,6,,6,,,,,,,6,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,1,36,6,,,,,,,,7,,5,,6,,,,,,,7,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,18,3,,,,,,,,,3,,,,,3,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,2
2022K,1713,Raahen lukio,FI,,2,13,2,,,,,,,,,3,,,,,,,,,,,2,4,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1713,Raahen lukio,FI,,2,33,6,,,,,,,,,5,,,,6,,,,,6,,5,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,15,2,,,,,,,,,,,,,2,,,,,4,,,,,3,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,29,7,,,,,,,,,6,,,,6,,6,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,18,3,,,,,,,,,3,,,,4,,,,,,,,3,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,19,4,,,,,,,,,4,3,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,21,4,,,,,,,,,2,,,,,4,3,,,,,,,,5,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,24,4,,,,,,,,,,,,,4,,4,,,,,,5,,4,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,24,4,,,,,,,,,4,,,,,5,,,,,,,,,,,,4,,,,,,,,7,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,13,3,,,,,,,,,2,2,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,22,4,,,,,,,,,4,,,,,,,,,3,,,2,,,,,5,,,,,,,,4,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,12,4,,,,,,,,,2,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,17,4,,,,,,,,,3,,,,,,3,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,29,7,,,,,,,,,,,,,6,,7,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,11,3,,,,,,,,,2,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,16,4,,,,,,,,,4,,,,4,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,17,5,,,,,,,,,2,,4,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,17,3,,,,,,,,,2,,,,,,,5,,,,,3,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,25,5,,,,,,,,,5,,4,,5,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,27,6,,,,,,,,5,,,,5,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,32,7,,,,,,,,2,,,6,,7,,,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,20,,,,,,,3,,,2,,,,,3,,,,,,3,,,,,,,,,,7,2,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,13,4,,,,,,,,,0,,,,,4,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,23,4,,,,,,,,,5,,4,,4,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,25,5,,,,,,,,,,5,,,,,,,,6,,,,,4,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,12,3,,,,,,,,2,,2,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,39,7,,,,,,,,,6,,,,7,,,7,,,,,7,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,32,7,,,,,,,,3,,6,,5,,,,,,,5,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,19,4,,,,,,,,,5,,,,,4,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,27,5,,,,,,,,,,,4,,,,5,,,,,,,,6,,,7,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,19,3,,,,,,,,,3,2,,,,5,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,24,4,,,,,,,,,3,,,,3,4,,,,,,6,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,20,4,,,,,,,,3,,,,,4,4,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,21,6,,,,,,,,,,3,,,,5,,,,,,,,,4,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,20,4,,,,,,,,,,,,,,4,,,,,,6,,,3,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,28,6,,,,,,,,,6,,,,,7,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,10,2,,,,,,,,,3,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,31,5,,,,,,,,5,,5,,4,,,,,,,6,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,28,5,,,,,,,,,,,,,7,,,,,,,,6,,5,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,34,6,,,,,,,,6,,6,,5,,6,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,15,3,,,,,,,,,4,,,,3,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,29,5,,,,,,,,4,,,,,4,6,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,9,,,,,,,2,,3,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,29,5,,,,,,,,,4,,,,,6,,,,,,7,,,4,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,18,6,,,,,,,,,4,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,24,5,,,,,,,,,5,,5,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,22,5,,,,,,,,,,,,,4,,4,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,28,6,,,,,,,,,,,,,6,6,,,,,,,5,3,,,,,,,,,2,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,13,3,,,,,,,,,,,,,,2,,,,,,,3,,2,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,22,5,,,,,,,,,,3,,,,,,,,,,,,,6,,,4,,4,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,11,2,,,,,,,,,2,,,,,,,,,,,2,2,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,21,5,,,,,,,,,,5,,,,,4,,,,,,,,3,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,24,5,,,,,,,,5,,,,5,4,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,29,5,,,,,,,,4,,4,,,,5,,,5,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,23,6,,,,,,,,,,4,,,,,5,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,21,4,,,,,,,,,,,,,6,,,,,,,,5,,2,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,14,3,,,,,,,,,2,,3,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,20,5,,,,,,,,,3,,3,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,33,6,,,,,,,,,5,,,,,,,6,,,,,6,,6,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,33,5,,,,,,,,,,,,,3,,5,,,,,,,,7,,,7,,,,,,,6,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,15,3,,,,,,,,,3,,,,4,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,30,3,,,,,,,,,6,,4,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,7,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,10,3,,,,,,,,2,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,19,4,,,,,,,,,6,,,,2,,3,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,23,4,,,,,,,,,4,4,,,,,,,,,,6,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,24,5,,,,,,,,3,,4,,,,,,,,,3,,,,4,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,1,24,7,,,,,,,,,,,,,4,,,,,,,,5,,4,,,4,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,21,4,,,,,,,,,5,3,,2,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1510,Kuopion taidelukio Lumit,FI,,2,12,4,,,,,,,,2,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
